62-23-65-141 O H,"POSTE DE CONCRETO 11MX600KG, DUPLO T,IN-CLUSIVE TRANSPORTE E INSTALA€ÇO",UN,"1,00 ","2.688,26 ","2.688,26 "
63-21-05-027 O H,CAIXA DE PASSAGEM EM ALUMÖNIO 20X20X12CM EMBUTIR - FORNECIMENTO E INSTALA€ÇO,UN,"4,00 ","49,88 ","199,52 "
63-21-05-048 O H,DISPOSITIVO DE PROTE€ÇO CONTRA SURTO DETENSÇO DPS 20KA - 275V - CLAMPER OU SIMILAR - FORNECIMENTO E INSTALA€ÇO,UN,"12,00 ","89,67 ","1.076,04 "
62-23-68-040 U H,"ETIQUETA ADESIVA COM IDENTIFICA€ÇO DE VOLTAGEM CABO DE REDE E TV, ROTEADOR, SOM, FIOS, CONECTORES E ETC",UN,"300,00 ","0,80 ","240,00 "
62-23-65-094 O H,PLACA DE SINALIZA€ÇO DE RISCO DE CHOQUEELTRICO PARA SUBESTA€ÇO - FORNECIMENTO E INSTALA€ÇO,UN,"2,00 ","29,66 ","59,32 "
001-005,COMPLEMENTO - GUARITA,,"0,00 ","362,02 ",
01-22-01-020 C H,"REMO€ÇO DE FORRO DE GESSO, DE FORMA MANUAL, SEM REAPROVEITAMENTO. AF_09/2023 CS: 97641",M2,"16,00 ","2,62 ","41,92 "
01-19-11-002 C H,"RODAP EM MARMORITE, ALTURA 10CM. AF_09/2020 CS: 101741",M,"15,00 ","21,34 ","320,10 "
001-006,ACABAMENTO,,"0,00 ","16.148,15 ",
63-19-01-303 O H,"FORRO ACéSTICO DE FIBRA MINERAL REMOVÖVEL, MODULA€ÇO 625 X 1250MM,APOIADO EM PERFIS METµLICOS TIPO T SUSPENSOS POR PERFIS RÖGIDOS,E=15MM",M2,"22,00 ","67,37 ","1.482,14 "
64-23-74-016 O H,"RODAP EM POLIESTIRENO BRANCO 2,40M, H=10CM SANTA LUZIA OU EQUIVALENTE TCNICO - FORNECIMENTO E INSTALA€ÇO",M,"18,00 ","72,28 ","1.301,04 "
62-23-65-080 O H,"REGULARIZA€ÇO DE BASE PARA PISOS C/ ARGAMASSA DE ALTA RESISTÒNCIA, TRA€O 1:3",M2,"16,00 ","51,85 ","829,60 "
01-19-03-008 C H,REVESTIMENTO CER¶MICO PARA PISO COM PLACAS TIPO ESMALTADA DE DIMENSåES 60X60 CMAPLICADA EM AMBIENTES DE µREA ENTRE 5 M2 E 10 M2. AF_02/2023_PE CS: 87256,M2,"16,00 ","53,25 ","852,00 "
63-21-05-040 O H,"REJUNTAMENTO DE PISO CER¶MICO, COM CIMENTO BRANCO PARA JUNTAS DE AT 3MM",M2,"16,00 ","11,22 ","179,52 "
64-23-74-017 O H,EMASSAMENTO DE PAREDES INTERNAS C/ MASSA ACRÖLICA DUAS DEMÇOS,M2,"30,00 ","17,12 ","513,60 "
01-13-06-102 C H,"VASO SANITµRIO SIFONADO COM CAIXA ACOPLADA, LOU€A BRANCA - PADRÇO ALTO - FORNECIMENTO E INSTALA€ÇO. AF_01/2020 CS: 100878",UN,"1,00 ","543,54 ","543,54 "
